	Status.UNKNOWN	Status.FIRST_CONTENT	Status.SAME_CONTENT	Status.CHANGED_CONTENT	Status.OLD_CONTENT	Status.BECAME_UNRESPONSIVE	Status.STILL_UNRESPONSIVE	Status.ERROR
2019-05-13 17:10:37.661	14376	227042	0	0	0	15460	0	0
2019-06-01 00:36:19.222	14376	33	184881	1	0	42160	15427	0
2019-07-01 18:50:09.802	12426	1983	227048	4	0	17	15400	0
2019-08-01 11:59:32.756	11870	561	228952	42	0	67	15386	0
2019-09-01 09:06:39.430	11870	1	153435	9	0	76134	15429	0
2019-10-01 11:40:13.365	8701	3443	229513	11	0	77	15133	0
2019-11-01 09:32:18.457	7782	934	233003	6	0	18	15135	0
2020-03-09 20:48:02.195	1850	5924	233895	33	0	105	15071	0
2020-04-01 16:03:54.771	446	1	87659	1	0	153635	15136	0
2020-05-01 06:33:04.440	446	1430	239798	4	0	12	15188	0
