	Status.UNKNOWN	Status.FIRST_CONTENT	Status.SAME_CONTENT	Status.CHANGED_CONTENT	Status.OLD_CONTENT	Status.BECAME_UNRESPONSIVE	Status.STILL_UNRESPONSIVE	Status.ERROR
2018-10-17 22:42:41.609	92911	325755	0	0	0	7694	0	0
2018-11-13 15:13:01.286	92910	3587	322259	138	0	3358	4108	0
2018-12-04 01:25:48.721	92910	866	327405	135	0	574	4470	0
2019-02-08 00:17:15.510	370593	981	52476	29	0	172	2109	0
2019-02-13 08:55:08.176	88160	4741	329856	132	0	120	3351	0
2019-03-13 07:55:12.903	82620	9042	328375	2035	0	1880	2408	0
2019-04-29 19:11:30.720	373159	1181	51098	293	0	235	394	0
2019-05-14 20:26:29.383	112646	3328	294488	5442	0	7848	2608	0
2019-06-01 07:32:31.022	404356	0	21332	598	0	1	73	0
2019-07-01 08:17:18.571	103083	2475	303868	11853	0	1538	3543	0
2019-08-01 04:21:24.356	86161	19468	308045	5740	0	3428	3518	0
2019-09-01 15:07:03.524	85783	964	325172	9017	0	816	4608	0
2019-10-01 01:29:29.672	287894	8	127993	2756	0	4723	2986	0
2019-11-01 18:11:13.693	49940	40505	320034	9876	0	2757	3248	0
2020-03-09 20:47:16.249	178348	49	228240	16241	0	1189	2293	0
2020-04-01 15:16:33.066	226269	53	189284	5656	0	2359	2739	0
2020-05-01 18:06:37.406	46669	9404	351162	16567	0	230	2328	0
