	Status.UNKNOWN	Status.FIRST_CONTENT	Status.SAME_CONTENT	Status.CHANGED_CONTENT	Status.OLD_CONTENT	Status.BECAME_UNRESPONSIVE	Status.STILL_UNRESPONSIVE	Status.ERROR
2019-03-01 20:37:34.877	70362	10687	0	0	0	870	0	0
2019-03-31 23:33:18.478	31500	24147	9884	565	0	15203	620	0
2019-05-01 03:57:18.530	30695	15460	25541	8765	0	358	1100	0
2019-06-01 10:43:38.196	30092	694	38701	8768	0	2265	1399	0
2019-07-01 21:41:36.023	29610	641	41589	8677	0	56	1346	0
2019-08-01 02:27:40.507	39628	533	38046	2489	0	243	980	0
2019-09-01 09:34:33.505	28784	556	41988	9205	0	45	1341	0
2019-10-01 13:00:09.644	28079	1088	19854	31179	0	636	1083	0
2019-11-01 05:36:30.648	26834	1304	41736	10713	0	239	1093	0
2019-12-01 21:46:46.943	26418	493	43296	10273	0	220	1219	0
2020-01-01 06:30:28.378	22838	3881	42046	11125	0	790	1239	0
2020-02-01 20:16:04.089	22404	455	47301	10056	0	344	1359	0
2020-02-10 17:43:37.456	22313	166	49807	8228	0	155	1250	0
2020-03-01 22:56:38.316	21863	1270	48077	9177	0	322	1210	0
2020-04-01 12:02:22.776	18012	3833	47134	11348	0	308	1284	0
2020-05-01 20:28:24.157	17303	1079	50342	11607	0	171	1417	0
