	Status.UNKNOWN	Status.FIRST_CONTENT	Status.SAME_CONTENT	Status.CHANGED_CONTENT	Status.OLD_CONTENT	Status.BECAME_UNRESPONSIVE	Status.STILL_UNRESPONSIVE	Status.ERROR
2019-03-01 20:37:34.877	1182	5788	0	0	0	14	0	0
2019-03-31 23:33:18.478	1150	41	4300	1480	0	0	13	0
2019-05-01 03:57:18.530	1145	37	4475	1300	0	15	12	0
2019-06-01 10:43:38.196	1232	58	3982	1407	0	279	26	0
2019-07-01 21:41:36.023	1157	58	4409	1270	0	35	55	0
2019-08-01 02:27:40.507	1097	210	4269	1353	0	27	28	0
2019-09-01 09:34:33.505	2611	36	3116	1199	0	8	14	0
2019-10-01 13:00:09.644	2559	56	2986	989	0	377	17	0
2019-11-01 05:36:30.648	2632	19	3021	1274	0	25	13	0
2019-12-01 21:46:46.943	2605	9	2997	1270	0	91	12	0
2020-01-01 06:30:28.378	2787	44	2906	900	0	335	12	0
2020-02-01 20:16:04.089	2776	5	3055	1077	0	5	66	0
2020-02-10 17:43:37.456	1341	161	4453	978	0	21	30	0
2020-03-01 22:56:38.316	1332	358	4294	910	0	60	30	0
2020-04-01 12:02:22.776	1473	51	4170	1274	0	1	15	0
2020-05-01 20:28:24.157	1649	24	4226	1082	0	2	1	0
